"","plate","well","position","nuc.ac.nr","dnaconcngpmicl","absratio","TissCode","extractby"
"1",1,"A1",1,262,-41,1.6429,"MW","JXD"
"2",1,"B1",2,465,-21,-4.75,"MW","JAJ"
"3",1,"C1",3,884,-3,-1.2647,"WB","JXD"
"4",1,"D1",4,617,0,1.4444,"MW","JXD"
"5",1,"E1",5,1223,1,-10.19,"WB","EAP"
"6",1,"F1",6,654,1,1.127,"MW","EAP"
"7",1,"G1",7,320,1,1.5,"WB","JAJ"
"8",1,"H1",8,421,1,0.83,"WB","JAJ"
"9",1,"A2",9,606,2,1.1739,"MW","JXD"
"10",1,"B2",10,278,2,0.7968,"MW","JAJ"
"11",1,"C2",11,471,2,1.34,"WB","JAJ"
"12",1,"D2",12,529,2,0.88,"WB","JAJ"
"13",1,"E2",13,183,2,2.5,"WB","JAJ"
"14",1,"F2",14,1791,3,1.62,"WB","EAP"
"15",1,"G2",15,750,3,0.8717,"MW","JXD"
"16",1,"H2",16,321,3,1.5455,"MW","JAJ"
"17",1,"A3",17,815,3,1.2745,"MW","JXD"
"18",1,"B3",18,325,3,11,"MW","JAJ"
"19",1,"C3",19,827,3,1.9063,"MW","JXD"
"20",1,"D3",20,834,3,1.3483,"MW","JXD"
"21",1,"E3",21,1097,3,1.4706,"WB","JXD"
"22",1,"F3",22,1771,3,2.49,"WB","EAP"
"23",1,"G3",23,387,3,1.093,"MW","JAJ"
"24",1,"H3",24,701,3,3.6667,"WB","EAP"
"25",1,"A4",25,1061,3,1.3182,"BUC","JXD"
"26",1,"B4",26,619,3,1.2426,"MW","JXD"
"27",1,"C4",27,508,3,1.8182,"WB","JAJ"
"28",1,"D4",28,832,4,1.3486,"MW","JXD"
"29",1,"E4",29,637,4,1.1518,"MW","JXD"
"30",1,"F4",30,532,4,1.24,"WB","JAJ"
"31",1,"G4",31,407,4,1.3636,"MW","JAJ"
"32",1,"H4",32,618,4,1.8235,"MW","JXD"
"33",1,"A5",33,376,4,1.45,"MW","JAJ"
"34",1,"B5",34,1358,4,1.36,"MW","EAP"
"35",1,"C5",35,499,4,2.125,"WB","JAJ"
"36",1,"D5",36,1690,4,1.64,"WB","EAP"
"37",1,"E5",37,482,5,1.1633,"MW","JAJ"
"38",1,"F5",38,647,5,1.329,"MW","JXD"
"39",1,"G5",39,1263,5,1.97,"WB","EAP"
"40",1,"H5",40,419,5,1.3548,"MW","JAJ"
"41",1,"A6",41,579,5,1.7826,"MW","EAP"
"42",1,"B6",42,1270,5,1.98,"WB","EAP"
"43",1,"C6",43,401,5,1.2973,"MW","JAJ"
"44",1,"D6",44,318,5,2.3333,"WB","JAJ"
"45",1,"E6",45,420,5,1.2895,"MW","JAJ"
"46",1,"F6",46,398,6,1.2292,"MW","JAJ"
"47",1,"G6",47,666,6,2.1923,"MW","JXD"
"48",1,"H6",48,415,6,1.52,"MW","JAJ"
"49",1,"A7",49,290,6,1.31,"MW","JAJ"
"50",1,"B7",50,412,6,1.4194,"MW","JAJ"
"51",1,"C7",51,663,6,1.9524,"MW","EAP"
"52",1,"D7",52,1171,6,2.63,"MW","EAP"
"53",1,"E7",53,333,6,1.3421,"MW","JAJ"
"54",1,"F7",54,1377,6,2.84,"WB","EAP"
"55",1,"G7",55,403,6,1.24,"MW","JAJ"
"56",1,"H7",56,736,6,1.6442,"MW","JXD"
"57",1,"A8",57,0,NA,NA,NA,NA
"58",1,"B8",58,1566,6,1.29,"WB","EAP"
"59",1,"C8",59,616,6,1.3859,"MW","JXD"
"60",1,"D8",60,531,7,1.52,"WB","JAJ"
"61",1,"E8",61,835,7,1.6,"MW","JXD"
"62",1,"F8",62,733,7,1.3074,"MW","JXD"
"63",1,"G8",63,353,7,2,"MW","JAJ"
