"nuc.ac.nr","plate","well"
760,1,"B10"
794,2,"D9"
221,2,"G3"
759,3,"C12"
105,3,"C2"
1082,3,"C8"
186,3,"D8"
610,3,"F2"
711,3,"F7"
503,3,"H12"
384,4,"B8"
345,4,"D9"
38,5,"A8"
211,5,"A9"
338,5,"B9"
913,5,"C5"
793,5,"E2"
108,5,"H8"
1112,6,"A11"
743,6,"E7"
102,6,"E8"
193,6,"F9"
134,6,"H10"
693,6,"H6"
483,7,"G2"
1164,8,"H5"
1054,9,"B2"
107,9,"H4"
1312,10,"B6"
1154,10,"E12"
132,10,"F11"
438,10,"F9"
33,10,"H10"
1228,12,"A8"
1324,12,"H5"
361,13,"B11"
842,13,"B8"
644,13,"D10"
1090,14,"D1"
14,14,"D3"
574,14,"E5"
444,14,"G4"
818,14,"H10"
135,NA,NA
736,NA,NA
1212,NA,NA
35,NA,NA
368,NA,NA
